id,id_produto,tipo,temperatura_ar,temperatura_processo,umidade_relativa,velocidade_rotacional,torque,desgaste_da_ferramenta,falha_maquina,FDF (Falha Desgaste Ferramenta),FDC (Falha Dissipacao Calor),FP (Falha Potencia),FTE (Falha Tensao Excessiva),FA (Falha Aleatoria)
28,L49099,L,298.2,308.0,90.0,1658.0,30.0,3.0,Não,False,nao,Não,False,Não
29,L47898,L,297.5,308.8,90.0,1477.0,39.0,127.0,Não,False,False,não,False,Não
30,L52048,L,303.6,312.4,90.0,1418.0,46.0,128.0,não,False,False,Não,False,Não
31,L55014,L,300.0,311.4,90.0,1483.0,45.6,187.0,não,False,False,Não,False,Não
32,M16158,M,298.7,309.8,90.0,1343.0,53.6,,Não,N,False,Não,False,não
33,M24053,M,297.9,309.0,90.0,1530.0,40.9,42.0,Não,False,False,não,False,0
34,M19477,M,303.1,311.4,90.0,1831.0,,-202.0,não,False,False,Não,False,Não
35,M17988,M,300.1,309.5,90.0,-161.0,42.8,50.0,não,False,False,Não,False,não
36,L56975,L,298.5,309.3,90.0,-161.0,33.1,109.0,não,False,False,não,False,não
37,L51159,L,302.3,311.3,90.0,1439.0,41.8,96.0,Não,False,False,Não,False,Não
38,M24784,M,298.5,308.6,90.0,1384.0,54.4,44.0,Não,False,0,Não,False,Não
39,L55497,L,298.7,,90.0,1667.0,30.4,92.0,Não,False,False,Não,False,Não
40,M19253,M,,310.1,90.0,1572.0,34.6,17.0,Não,False,False,não,False,Não
41,L48467,L,298.5,309.6,90.0,1419.0,41.5,105.0,Não,False,False,Não,False,não
42,H33769,H,302.0,309.8,90.0,1280.0,57.3,147.0,sim,False,True,Não,False,não
43,M21873,M,300.4,310.4,90.0,-161.0,36.3,21.0,Não,False,False,Não,False,não
44,L51065,L,302.5,311.5,90.0,-161.0,29.2,49.0,Não,False,False,Não,False,não
45,H35163,H,302.2,311.8,90.0,-161.0,62.4,31.0,não,False,False,Não,False,não
46,L56349,L,297.7,308.8,90.0,1896.0,24.5,186.0,não,False,False,não,False,Não
47,M17267,M,299.1,308.6,90.0,1499.0,45.1,185.0,Não,False,False,não,False,Não
48,L49193,L,298.6,-38.0,90.0,1485.0,42.9,38.0,não,False,False,Não,False,Não
49,L52333,L,304.2,313.4,90.0,1644.0,31.7,23.0,Não,False,False,não,False,Não
50,M23411,M,298.2,309.1,90.0,1457.0,49.0,77.0,Não,False,False,Não,False,Não
51,M19236,M,301.9,309.6,90.0,1551.0,34.6,211.0,não,False,False,Não,False,Não
52,L56002,L,297.4,308.8,90.0,1462.0,49.7,132.0,Não,False,False,Não,False,Não
53,L51453,L,302.6,310.8,90.0,1486.0,36.4,160.0,Não,False,False,Não,False,não
54,L53005,L,301.3,311.1,90.0,1413.0,42.0,221.0,não,False,False,Não,False,Não
55,M21559,M,301.7,310.8,90.0,1516.0,40.4,48.0,N,False,False,não,False,Não
56,M22103,M,300.0,310.2,90.0,,51.2,-202.0,não,False,False,Não,False,não
57,L47629,L,297.6,308.7,90.0,1622.0,37.9,79.0,Não,False,False,Não,False,não
58,L49407,L,299.5,308.8,90.0,1965.0,20.4,164.0,Não,False,False,não,False,não
59,M20616,M,302.0,311.5,90.0,-161.0,52.3,54.0,não,False,False,não,False,não
60,L47990,L,296.9,307.7,90.0,1550.0,39.7,124.0,0,False,False,Não,False,Não
61,L51360,L,,310.8,90.0,1686.0,28.8,150.0,Não,False,False,não,False,Não
62,L56180,L,297.0,307.9,90.0,-161.0,46.1,173.0,Não,False,False,Não,False,não
63,L52618,L,302.9,312.5,90.0,1683.0,32.1,85.0,não,False,False,Não,False,Não
64,L54713,L,300.0,311.2,90.0,1504.0,37.9,58.0,Não,False,False,Não,False,não
65,H35783,H,300.0,309.5,90.0,1781.0,24.9,70.0,Não,False,False,Não,False,não
66,M23276,M,298.8,310.1,90.0,1585.0,,-202.0,Não,False,False,Não,False,não
67,L48657,L,298.3,309.4,90.0,1570.0,35.6,138.0,Não,False,False,Não,False,Não
68,L48970,L,298.2,307.9,90.0,1847.0,23.6,69.0,Não,False,False,Não,False,Não
69,L49188,L,298.5,308.3,90.0,1811.0,24.7,27.0,Não,False,False,Não,False,Não
70,H30096,H,,309.0,90.0,1410.0,48.8,23.0,Não,False,False,Não,False,não
71,L49996,L,300.1,309.4,90.0,1434.0,47.3,127.0,não,False,False,não,False,Não
72,L56611,L,298.0,308.6,90.0,1430.0,57.0,43.0,não,False,False,Não,False,não
73,M18634,M,302.4,311.1,90.0,1480.0,45.7,200.0,Não,False,False,Não,False,Não
74,M21355,M,300.6,309.8,90.0,1694.0,31.1,187.0,Não,False,False,Não,False,Não
75,L56058,L,-36.0,309.2,90.0,1802.0,26.9,83.0,Não,False,False,não,False,Não
76,L54541,L,299.5,310.0,90.0,1502.0,38.5,52.0,Não,False,False,Não,False,não
77,M23226,M,298.9,-38.0,90.0,1836.0,22.8,18.0,não,False,False,Não,False,Não
78,L54654,L,300.3,311.7,90.0,1989.0,22.3,121.0,Não,0,False,não,False,Não
79,M14906,M,298.7,309.0,90.0,1843.0,25.8,130.0,Não,False,False,Não,False,Não
80,M14890,M,299.1,309.5,90.0,1339.0,48.2,86.0,Não,False,False,não,False,não
81,M23110,M,299.0,310.4,90.0,1394.0,45.2,122.0,Não,False,False,não,False,Não
82,L54115,L,300.7,311.2,90.0,1878.0,24.3,24.0,Não,False,False,Não,False,não
83,M16328,M,-36.0,309.8,90.0,1419.0,44.9,115.0,Não,False,False,Não,False,Não
84,H31079,H,298.2,307.9,90.0,1491.0,39.7,181.0,Não,False,False,N,False,Não
85,M16276,M,298.7,309.9,90.0,2083.0,18.2,-202.0,não,False,False,não,False,Não
86,L53660,L,300.7,309.9,90.0,1775.0,26.6,149.0,Não,False,False,Não,False,não
87,L52032,L,303.7,312.2,90.0,-161.0,34.9,92.0,Não,False,False,não,False,não
88,L49650,L,298.9,,90.0,1467.0,44.7,-202.0,Não,False,False,Não,False,Não
89,M19233,M,301.9,309.7,90.0,1533.0,35.9,204.0,Não,False,False,não,False,não
90,L55704,L,298.3,309.4,90.0,1468.0,46.2,10.0,não,False,False,Não,False,0
91,L47609,L,297.5,308.6,90.0,1208.0,62.3,28.0,não,False,False,Não,False,Não
92,L52424,L,-36.0,313.0,90.0,-161.0,31.6,52.0,Não,False,False,Não,False,não
93,M16979,M,299.3,308.9,90.0,1858.0,24.7,101.0,não,False,False,Não,False,Não
94,M15245,M,297.6,308.6,90.0,1414.0,45.4,138.0,não,False,False,Não,False,Não
95,L49125,L,298.1,308.1,90.0,1616.0,32.8,65.0,Não,False,False,Não,False,Não
96,L51404,L,,310.7,90.0,1698.0,28.1,39.0,Não,False,False,Não,False,Não
97,M15333,M,297.4,309.0,90.0,1520.0,37.0,147.0,Não,False,False,Não,False,não
98,H31543,H,299.4,309.0,90.0,1607.0,33.7,130.0,não,False,False,não,False,Não
99,L53736,L,301.5,310.7,90.0,1686.0,27.9,-202.0,Não,False,False,não,False,Não
100,M21858,M,300.6,310.7,90.0,1388.0,42.9,190.0,Não,False,False,Não,False,Não
101,L48235,L,296.8,307.8,90.0,1480.0,39.4,122.0,não,False,False,Não,False,não
102,L50454,L,301.3,310.0,90.0,1665.0,31.4,0.0,não,False,0,Não,False,não
103,L52141,L,303.9,312.7,90.0,1800.0,24.3,158.0,0,False,False,não,False,Não
104,L52543,L,303.2,312.5,90.0,1518.0,39.9,146.0,não,False,False,Não,False,Não
105,L52996,L,301.3,-38.0,90.0,1582.0,35.6,202.0,não,False,False,Não,False,não
106,L47991,L,296.8,307.6,90.0,1588.0,37.6,126.0,Não,False,False,não,False,Não
107,H33987,H,302.8,311.0,90.0,1436.0,43.5,47.0,Não,False,False,não,False,Não
108,M20997,M,300.9,310.8,90.0,1988.0,19.7,136.0,Não,False,False,Não,False,Não
109,M17248,M,299.2,308.5,90.0,1526.0,37.3,-202.0,Não,False,False,Não,False,Não
110,L56828,L,299.1,-38.0,90.0,1416.0,41.2,185.0,Não,False,False,não,False,Não
111,M21085,M,301.2,311.0,90.0,1424.0,41.4,131.0,não,False,False,não,False,Não
112,H29525,H,298.7,308.6,90.0,1499.0,43.5,84.0,Não,False,nao,Não,False,Não
113,L56089,L,297.1,308.4,90.0,1529.0,40.4,165.0,Não,False,False,não,False,Não
114,L48925,L,298.5,-38.0,90.0,1624.0,29.8,160.0,Não,False,False,Não,False,não
115,L55031,L,300.4,311.7,90.0,1373.0,47.2,3.0,N,False,False,não,False,não
116,L48632,L,299.0,310.3,90.0,1584.0,34.4,83.0,Não,False,False,não,False,Não
117,L47499,L,297.8,308.4,90.0,1612.0,32.1,-202.0,não,False,False,Não,False,Não
118,M23453,M,297.4,308.0,90.0,1601.0,34.6,181.0,Não,False,False,não,False,Não
119,M18193,M,-36.0,310.8,90.0,1343.0,49.5,140.0,Não,False,False,Não,False,Não
120,L49102,L,298.0,307.8,90.0,1716.0,26.6,9.0,Não,False,False,não,False,Não
121,M20725,M,301.5,311.1,90.0,1402.0,40.0,94.0,não,False,False,Não,False,Não
122,M24388,M,299.1,310.3,90.0,1233.0,59.0,81.0,Não,False,False,Não,False,Não
123,M18545,M,301.9,311.1,90.0,1380.0,51.6,184.0,não,False,False,não,False,Não
124,M19135,M,302.4,-38.0,90.0,1500.0,36.7,164.0,Não,False,False,Não,False,não
125,L52069,L,303.7,312.5,90.0,1632.0,36.6,186.0,Não,False,False,não,False,Não
126,M20085,M,304.0,313.2,90.0,-161.0,53.9,7.0,não,False,False,Não,False,0
127,M22332,M,-36.0,,90.0,,32.5,-202.0,Não,False,False,Não,False,não
128,L50785,L,301.7,,90.0,1641.0,31.9,-202.0,Não,False,False,N,False,Não
129,L48232,L,296.7,307.7,90.0,1927.0,23.9,112.0,não,False,nao,não,False,não
130,M19016,M,-36.0,310.5,90.0,1823.0,25.1,87.0,não,False,False,Não,False,Não
131,L56856,L,299.0,310.1,90.0,1886.0,,-202.0,Não,False,False,Não,False,não
132,L47279,L,298.8,308.8,90.0,1523.0,44.4,55.0,não,False,False,Não,False,Não
133,M22368,M,300.5,311.9,90.0,1730.0,27.5,209.0,0,False,False,não,False,Não
134,L48636,L,299.0,310.3,90.0,-161.0,43.0,91.0,Não,False,False,Não,False,não
135,L54868,L,300.6,,90.0,1553.0,39.8,0.0,não,False,False,Não,False,não
136,L51184,L,302.0,311.1,90.0,1373.0,55.7,-202.0,0,False,False,não,False,Não
137,M21726,M,301.0,-38.0,90.0,1454.0,41.5,57.0,Não,False,False,Não,False,Não
138,L51689,L,302.4,310.1,90.0,1429.0,43.7,104.0,Não,False,False,não,False,Não
139,L50479,L,-36.0,310.5,90.0,1390.0,45.8,-202.0,0,False,False,Não,False,Não
140,L50979,L,302.2,310.9,90.0,1506.0,34.0,-202.0,Não,False,False,Não,False,Não
141,L51461,L,302.0,310.0,90.0,-161.0,22.9,178.0,não,False,False,Não,False,não
142,L56231,L,297.4,308.6,90.0,1820.0,24.6,79.0,Não,N,False,Não,False,não
143,H35876,H,300.6,310.0,90.0,1483.0,44.0,97.0,Não,False,False,Não,False,Não
144,L55092,L,,-38.0,90.0,1498.0,44.0,155.0,Não,False,False,Não,False,não
145,M16274,M,298.7,309.8,90.0,1570.0,42.1,200.0,Não,False,False,não,False,Não
146,L47720,L,297.4,309.4,90.0,1473.0,45.5,94.0,não,False,False,Não,False,Não
147,L52995,L,301.2,311.0,90.0,1670.0,33.0,200.0,Não,False,False,Não,False,Não
148,L55379,L,299.2,310.7,90.0,1737.0,27.0,225.0,Sim,True,False,Não,False,Não
149,L50860,L,302.2,311.5,90.0,-161.0,31.2,172.0,não,False,False,Não,False,não
150,M15614,M,296.9,308.1,90.0,1483.0,44.3,219.0,não,False,False,Não,False,Não
151,M19056,M,302.5,311.0,90.0,1563.0,35.6,190.0,Não,False,False,Não,False,não
152,L49830,L,299.9,309.6,90.0,1280.0,59.3,163.0,Não,False,False,não,False,Não
153,M19382,M,302.5,310.5,90.0,1918.0,21.6,131.0,não,False,False,Não,False,Não
154,L56699,L,299.0,310.1,90.0,1531.0,36.0,57.0,Não,False,False,Não,False,Não
155,M17978,M,300.2,309.5,90.0,-161.0,46.9,23.0,Não,False,False,Não,False,não
156,L50908,L,302.3,311.3,90.0,1457.0,44.5,83.0,Não,False,False,Não,False,Não
157,L51066,L,302.4,311.3,90.0,1392.0,50.5,51.0,Não,False,False,Não,False,Não
158,H36521,H,300.9,310.5,90.0,1512.0,41.2,49.0,Não,False,False,N,False,não
159,M22928,M,300.5,311.9,90.0,-161.0,35.2,97.0,Não,False,False,não,False,não
160,L54505,L,299.9,310.4,90.0,1419.0,45.7,-202.0,Não,False,False,Não,False,Não
161,L55663,L,298.3,-38.0,90.0,1618.0,31.5,108.0,Não,False,False,Não,False,não
162,L55947,L,297.5,308.6,90.0,1380.0,53.5,192.0,Não,False,False,não,False,Não
163,M21360,M,300.9,310.0,90.0,1416.0,46.6,201.0,Não,False,False,Não,False,Não
164,L55606,L,299.1,310.5,90.0,-161.0,35.9,174.0,Não,False,False,Não,False,não
165,L55143,L,301.0,312.2,90.0,1510.0,39.9,61.0,Não,False,False,Não,False,Não
166,L47781,L,297.9,309.7,90.0,2194.0,16.8,27.0,Não,False,False,Não,False,Não
167,L56429,L,298.3,309.0,90.0,-161.0,32.2,179.0,Não,False,False,Não,False,não
168,L56099,L,297.2,308.3,90.0,1693.0,28.0,188.0,Não,N,False,Não,False,Não
169,H36228,H,300.8,310.6,90.0,1465.0,44.1,136.0,Não,False,False,Não,False,Não
170,L52591,L,302.8,312.6,90.0,1462.0,39.4,-202.0,não,False,False,Não,False,Não
171,L55927,L,297.3,308.5,90.0,-161.0,42.0,142.0,não,False,False,Não,False,não
172,L52702,L,302.6,311.9,90.0,1453.0,39.1,84.0,Não,False,False,N,False,não
173,L48224,L,296.5,307.6,90.0,1512.0,43.6,92.0,N,False,False,não,False,Não
174,L54514,L,299.8,310.4,90.0,1694.0,30.3,-202.0,Não,False,False,N,False,Não
175,L48737,L,298.3,308.4,90.0,1585.0,30.6,127.0,Não,False,False,Não,False,não
176,M18599,M,302.2,,90.0,1663.0,29.6,115.0,não,False,False,não,False,não
177,L50702,L,301.8,311.0,90.0,1651.0,32.5,,Não,False,False,não,False,Não
178,L47360,L,298.2,308.3,90.0,1475.0,49.9,47.0,Não,N,False,Não,False,Não
179,L49295,L,299.4,309.0,90.0,1404.0,47.3,86.0,não,False,False,Não,False,Não
180,L48879,L,298.1,307.7,90.0,1289.0,48.3,42.0,Não,False,False,Não,False,Não
181,L48559,L,298.7,310.1,90.0,1620.0,34.8,112.0,0,False,False,Não,False,Não
182,L54409,L,299.8,309.8,90.0,1749.0,33.4,153.0,Não,False,0,Não,False,não
183,L56323,L,297.6,308.5,90.0,1452.0,42.6,116.0,não,False,False,não,False,Não
184,H30032,H,298.2,310.0,90.0,1433.0,44.2,68.0,não,False,False,Não,False,não
185,L50361,L,300.2,309.4,90.0,1527.0,37.0,194.0,não,False,False,N,False,Não
186,M24711,M,298.5,309.3,90.0,-161.0,27.2,-202.0,Não,False,False,Não,False,não
187,M16460,M,297.8,307.8,90.0,1543.0,43.7,8.0,Não,False,False,Não,False,Não
188,H35377,H,300.4,310.7,90.0,-161.0,,-202.0,Não,False,False,Não,False,não
189,L48795,L,297.8,307.9,90.0,-161.0,48.6,46.0,Não,False,False,Não,False,não
190,L53100,L,300.5,310.2,90.0,1764.0,25.9,27.0,Não,False,False,Não,False,não
191,L56771,L,299.2,-38.0,90.0,1570.0,37.3,37.0,não,False,nao,Não,False,Não
192,L51071,L,302.2,-38.0,90.0,1418.0,47.0,61.0,Não,False,False,não,False,Não
193,H31497,H,299.4,309.3,90.0,1743.0,28.2,-202.0,Não,False,False,não,False,-
194,M19434,M,302.9,311.0,90.0,1402.0,40.7,52.0,Não,False,False,Não,False,Não
195,L52774,L,302.6,311.9,90.0,1598.0,35.5,69.0,Não,False,False,Não,False,não
196,L52301,L,-36.0,313.6,90.0,1469.0,40.0,154.0,Não,False,False,não,False,Não
197,M19447,M,302.8,311.0,90.0,1507.0,33.4,82.0,não,False,False,Não,False,Não
198,L52082,L,303.6,-38.0,90.0,1616.0,,-202.0,Não,False,0,não,False,Não
199,L55432,L,299.0,310.4,90.0,-161.0,36.1,127.0,não,False,False,Não,False,não
200,L53096,L,,310.2,90.0,1555.0,41.9,19.0,Não,False,False,Não,False,Não
201,M19989,M,304.1,313.3,90.0,1725.0,28.3,177.0,Não,False,False,Não,False,não
202,M23194,M,298.8,309.7,90.0,1459.0,47.3,141.0,não,False,False,Não,False,Não
203,M16778,M,298.1,307.9,90.0,1496.0,40.0,-202.0,não,False,False,Não,False,Não
204,L55510,L,298.8,309.7,90.0,-161.0,39.0,131.0,Não,False,False,Não,False,não
205,L52887,L,302.4,311.8,90.0,1448.0,43.4,141.0,não,False,False,Não,False,Não
206,M20244,M,302.9,312.4,90.0,1421.0,46.0,206.0,Não,0,False,não,False,não
207,L53516,L,300.4,309.8,90.0,1395.0,48.1,201.0,Não,False,False,Não,False,não
208,M16914,M,299.6,309.4,90.0,1605.0,29.8,142.0,Não,False,False,Não,False,Não
209,M22472,M,300.5,311.4,90.0,1743.0,27.6,46.0,Não,False,False,não,False,Não
210,M24069,M,-36.0,309.0,90.0,1393.0,55.9,79.0,Não,False,False,Não,False,Não
211,H33377,H,302.3,311.5,90.0,1526.0,38.2,47.0,não,False,False,não,False,não
212,L48306,L,296.8,-38.0,90.0,1706.0,30.8,111.0,Não,False,False,Não,False,Não
213,L50608,L,301.6,310.6,90.0,-161.0,49.4,164.0,não,False,False,não,False,não
214,M19461,M,303.0,311.1,90.0,1372.0,54.3,117.0,Sim,False,True,Não,False,Não
215,M18581,M,302.2,311.2,90.0,1544.0,43.6,63.0,Não,False,False,Não,False,Não
216,L49569,L,-36.0,308.5,90.0,1867.0,27.0,138.0,Não,False,False,Não,False,Não
217,H30736,H,298.9,310.1,90.0,1452.0,49.9,187.0,não,False,False,não,False,Não
218,M16463,M,297.8,307.8,90.0,,32.1,18.0,não,False,False,Não,False,não
219,L54404,L,299.8,309.6,90.0,1598.0,31.0,139.0,Não,False,False,Não,False,não
220,M22285,M,300.0,311.4,90.0,1791.0,24.1,213.0,não,False,False,Não,False,Não
221,H33750,H,301.6,309.9,90.0,1423.0,53.6,95.0,não,False,nao,Não,False,Não
222,L52773,L,302.6,-38.0,90.0,1354.0,48.0,67.0,não,False,False,não,False,Não
223,L51591,L,302.5,310.3,90.0,1688.0,31.6,66.0,não,False,False,não,False,Não
224,L53038,L,301.3,311.0,90.0,1348.0,44.5,78.0,Não,False,False,Não,False,Não
225,M24203,M,298.3,308.8,90.0,1391.0,50.4,13.0,não,False,False,não,False,Não
226,L51171,L,302.3,311.3,90.0,,34.4,127.0,não,False,False,não,False,não
227,M20939,M,300.8,310.7,90.0,1371.0,44.7,205.0,Não,False,False,Não,False,Não
228,L48739,L,298.2,308.3,90.0,1458.0,41.8,132.0,N,False,False,Não,False,Não
229,L51862,L,303.6,311.8,90.0,1567.0,31.7,-202.0,Não,0,False,Não,False,Não
230,M22417,M,300.4,311.5,90.0,1750.0,27.3,116.0,Não,False,False,Não,False,Não
231,L50952,L,302.4,311.1,90.0,1448.0,44.8,195.0,não,False,False,Não,False,Não
232,M23639,M,297.5,308.6,90.0,1349.0,51.5,21.0,Não,False,False,Não,False,Não
233,M18317,M,301.5,310.4,90.0,2639.0,12.0,21.0,sim,False,False,Sim,False,Não
234,M23243,M,298.8,309.9,90.0,1495.0,35.2,60.0,Não,False,False,Não,False,não
235,L48534,L,298.6,310.0,90.0,1334.0,48.0,42.0,não,False,False,Não,False,não
236,L47225,L,298.8,309.1,90.0,1489.0,,-202.0,não,False,False,Não,False,Não
237,L57052,L,298.9,309.9,90.0,1373.0,52.1,108.0,Não,False,False,Não,False,Não
238,H30162,H,296.7,308.1,90.0,1528.0,46.3,203.0,Não,False,False,Não,False,Não
239,L55097,L,300.9,312.1,90.0,1474.0,42.4,171.0,Não,False,False,Não,False,Não
240,L51421,L,302.4,311.0,90.0,-161.0,47.9,79.0,Não,False,False,Não,False,não
241,L52808,L,-36.0,312.1,90.0,1688.0,32.0,155.0,Não,False,False,Não,False,Não
242,L51837,L,303.1,311.2,90.0,1628.0,35.2,23.0,Não,False,False,Não,False,Não
243,M19098,M,302.3,-38.0,90.0,1521.0,34.8,-202.0,Não,False,False,Não,False,Não
244,L50640,L,301.5,310.3,90.0,1415.0,41.6,28.0,Não,False,False,Não,False,Não
245,L54561,L,299.7,310.3,90.0,-161.0,43.1,101.0,Não,False,False,não,False,não
246,H34963,H,302.3,311.9,90.0,1374.0,52.4,154.0,não,0,False,Não,False,Não
247,L54255,L,300.7,310.5,90.0,1536.0,47.4,192.0,Não,False,False,não,False,não
248,M20698,M,301.4,311.2,90.0,1476.0,36.5,25.0,não,False,False,Não,False,Não
249,L55271,L,300.2,311.6,90.0,1375.0,56.9,155.0,Não,False,False,não,False,Não
250,M20334,M,302.7,312.1,90.0,1378.0,46.9,-202.0,Não,False,False,Não,False,não
251,L50794,L,-36.0,311.0,90.0,-161.0,33.3,4.0,Não,False,False,Não,False,não
252,L54681,L,300.2,311.7,90.0,1640.0,30.8,191.0,não,False,False,não,False,Não
253,H36467,H,300.7,-38.0,90.0,1567.0,38.7,-202.0,não,False,False,não,False,não
254,M22227,M,299.5,310.1,90.0,1359.0,61.1,67.0,Não,False,False,Não,False,não
255,L55199,L,301.0,312.1,90.0,-161.0,30.7,200.0,não,False,False,0,False,não
256,H39052,H,299.3,310.4,90.0,1393.0,44.9,162.0,não,False,False,Não,False,Não
257,H38469,H,297.3,308.4,90.0,1864.0,23.1,90.0,Não,False,False,Não,False,Não
258,L47844,L,297.5,308.9,90.0,1390.0,47.4,187.0,Não,False,False,N,False,Não
259,M17179,M,299.2,308.8,90.0,1700.0,33.5,185.0,não,False,False,Não,False,Não
260,L50722,L,301.8,310.9,90.0,1899.0,24.7,31.0,Não,False,False,Não,False,Não
261,M18537,M,302.3,311.7,90.0,1368.0,53.6,165.0,Não,False,False,Não,False,Não
262,L56779,L,299.0,310.1,90.0,1463.0,37.4,56.0,Não,False,0,Não,False,não
263,L50271,L,,309.3,90.0,1558.0,29.7,168.0,Não,False,False,não,False,não
264,M15535,M,297.8,309.1,90.0,1424.0,45.5,2.0,não,False,False,não,False,Não
265,M23536,M,297.3,308.5,90.0,1520.0,42.4,-202.0,Não,False,False,Não,False,não
266,H34298,H,-36.0,312.5,90.0,1655.0,28.0,170.0,não,False,False,não,False,Não
267,L55259,L,300.2,-38.0,90.0,1528.0,36.1,125.0,Não,False,False,Não,False,Não
268,L49142,L,297.8,307.5,90.0,1391.0,48.6,109.0,não,False,nao,Não,False,Não
269,M16700,M,297.7,307.2,90.0,1405.0,43.7,2.0,Não,False,False,não,False,Não
270,L54348,L,300.3,310.3,90.0,-161.0,29.5,0.0,não,False,False,não,False,não
271,L57078,L,298.7,309.2,90.0,1396.0,44.8,178.0,não,False,False,não,False,Não
272,L50718,L,302.0,311.1,90.0,1635.0,36.0,23.0,não,False,False,Não,False,Não
273,L55206,L,,-38.0,90.0,1399.0,50.2,222.0,Sim,False,False,Não,True,Não
274,L52046,L,303.6,,90.0,-161.0,28.7,124.0,não,False,False,Não,False,não
275,L51354,L,302.3,310.7,90.0,1499.0,37.8,,Não,0,0,não,False,Não
276,L55268,L,300.1,311.4,90.0,1356.0,45.7,149.0,Não,N,False,não,False,Não
277,M19237,M,301.8,309.6,90.0,1436.0,49.0,214.0,Não,False,False,Não,False,Não
278,L53391,L,300.8,310.6,90.0,-161.0,48.8,91.0,Não,False,False,Não,False,não
279,M19626,M,,312.0,90.0,1645.0,35.7,81.0,não,False,False,não,False,0
280,L47591,L,297.5,-38.0,90.0,1429.0,44.3,201.0,não,False,False,Não,False,Não
281,L47793,L,298.1,309.9,90.0,1634.0,30.0,53.0,Não,0,False,Não,False,Não
282,L53306,L,300.9,310.9,90.0,1370.0,52.5,107.0,Não,False,False,não,False,não
283,L52390,L,303.7,312.6,90.0,1466.0,42.5,183.0,Não,False,False,Não,False,não
284,L48610,L,298.9,310.0,90.0,1378.0,49.3,18.0,não,False,False,Não,False,não
285,L49605,L,298.8,308.1,90.0,1472.0,53.5,28.0,não,False,False,Não,False,Não
286,L56021,L,297.3,308.7,90.0,1506.0,39.3,187.0,não,False,False,N,False,Não
287,M18693,M,302.3,311.0,90.0,-161.0,36.6,-202.0,Não,False,False,não,False,não
288,L51898,L,303.3,311.6,90.0,1337.0,56.8,187.0,sim,False,True,não,False,Não
289,L54365,L,300.3,310.4,90.0,1672.0,29.2,39.0,Não,False,False,não,False,Não
290,L48597,L,298.7,309.9,90.0,1541.0,38.5,208.0,não,False,False,não,False,não
291,L54379,L,300.0,309.9,90.0,1507.0,41.4,74.0,não,False,nao,Não,False,Não
